date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:47	484/484	---MCZ	200	added ('OK')	text/plain	etag:cacheable:115d3c235803823ec790255b1b0498e5	https://martharbour.com/robots.txt		(from )
13:46:48	81302/81302	---MCZ	200	added ('OK')	text/html	etag:cacheable:9b6a36e0763ae4fff297fc52a5bb48aa	https://martharbour.com/	C:/Users/Sashera/Desktop/white/web/index.html	(from )
13:46:48	188224/188224	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Mar%202021%2011:56:17%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/t/1/assets/theme.css?v=13661997104517498723	C:/Users/Sashera/Desktop/white/web/css/theme51df.css	(from https://martharbour.com/)
13:46:51	2198/2198	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Mar%202021%2009:46:50%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/t/1/assets/ajax-loader.gif?v=4135686330247201572	C:/Users/Sashera/Desktop/white/web/gif/ajax-loader2ab5.gif	(from https://martharbour.com/)
13:46:51	27330/27330	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Mar%202021%2011:56:16%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/t/1/assets/lazysizes.js?v=6309855486832407013	C:/Users/Sashera/Desktop/white/web/js/lazysizes12ca.js	(from https://martharbour.com/)
13:46:51	8582/8582	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Mar%202021%2011:56:16%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/t/1/assets/ie11CustomProperties.min.js?v=14620839920147293620	C:/Users/Sashera/Desktop/white/web/js/ie11customproperties.mincc9a.js	(from https://martharbour.com/)
13:46:53	61781/61781	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:ed7fbf7361fdbea590b708764ebf9a5e	https://martharbour.com/POST	C:/Users/Sashera/Desktop/white/web/other/post	(from https://martharbour.com/)
13:46:54	274821/274821	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Mar%202021%2011:56:18%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/t/1/assets/theme.js?v=18230968851452799513	C:/Users/Sashera/Desktop/white/web/js/theme2657.js	(from https://martharbour.com/)
13:46:54	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/Users/Sashera/Desktop/white/web/js/index.js	(from https://martharbour.com/)
13:46:55	9535/9535	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2016:11:35%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	C:/Users/Sashera/Desktop/white/web/js/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	(from https://martharbour.com/)
13:46:55	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/Sashera/Desktop/white/web/js/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://martharbour.com/)
13:46:57	64815/64815	---MCZ	200	added ('OK')	text/html	etag:cacheable:74441e974849e38d06ee63c0a9e04903	https://martharbour.com/cart	C:/Users/Sashera/Desktop/white/web/cart.html	(from https://martharbour.com/)
13:46:57	6207/6207	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Mar%202021%2014:38:43%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/Black_and_White_Square_Abstract_Logo_9952605a-f396-443e-abc6-7c76b2806e67_300x300.png?v=1616337486	C:/Users/Sashera/Desktop/white/web/png/black_and_white_square_abstract_logo_9952605a-f396-443e-abc6-7c76b2806e67_300x30064da.png	(from https://martharbour.com/)
13:46:57	3436/3436	---M--	200	added ('OK')	image/png	date:Sun,%2021%20Mar%202021%2014:38:43%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/Black_and_White_Square_Abstract_Logo_9952605a-f396-443e-abc6-7c76b2806e67_180x.png?v=1616337486	C:/Users/Sashera/Desktop/white/web/png/black_and_white_square_abstract_logo_9952605a-f396-443e-abc6-7c76b2806e67_180x64da.png	(from https://martharbour.com/)
13:46:58	83751/83751	---MCZ	200	added ('OK')	text/html	etag:cacheable:155b6a7765156873a729144066b18384	https://martharbour.com/collections/all	C:/Users/Sashera/Desktop/white/web/all.html	(from https://martharbour.com/)
13:46:59	62336/62336	---MCZ	200	added ('OK')	text/html	etag:cacheable:90c419e4bc5859c0f0c2c61b817bd69f	https://martharbour.com/pages/about-us	C:/Users/Sashera/Desktop/white/web/about-us.html	(from https://martharbour.com/)
13:47:00	62004/62004	---MCZ	200	added ('OK')	text/html	etag:cacheable:60bd42fb6a1bdf4ed30c171983b2dca5	https://martharbour.com/pages/contact-us	C:/Users/Sashera/Desktop/white/web/contact-us.html	(from https://martharbour.com/)
13:47:02	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Mar%202021%2009:47:02%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/jonathan-lampel-L9wrEGJjRdo-unsplash_{width}x.jpg?v=1616335319	C:/Users/Sashera/Desktop/white/web/jpg/jonathan-lampel-l9wregjjrdo-unsplash_{width}xac79.jpg	(from https://martharbour.com/)
13:47:03	63979/63979	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202021%2009:47:00%20GMT	https://martharbour.com/account/login	C:/Users/Sashera/Desktop/white/web/login.html	(from https://martharbour.com/)
13:47:06	8734/8734	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:05%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/karl-greif-H5IXIH254AU-unsplash_300x300.jpg?v=1616336557	C:/Users/Sashera/Desktop/white/web/jpg/karl-greif-h5ixih254au-unsplash_300x300ff37.jpg	(from https://martharbour.com/)
13:47:08	4865/4865	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:07%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/dose-media-aSPomqvp1cI-unsplash_300x300.jpg?v=1616336593	C:/Users/Sashera/Desktop/white/web/jpg/dose-media-aspomqvp1ci-unsplash_300x3004a42.jpg	(from https://martharbour.com/)
13:47:12	62268/62268	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:03%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/jonathan-lampel-L9wrEGJjRdo-unsplash_600x600@2x.jpg?v=1616335319	C:/Users/Sashera/Desktop/white/web/jpg/jonathan-lampel-l9wregjjrdo-unsplash_600x600@2xac79.jpg	(from https://martharbour.com/)
13:47:15	114453/114453	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:02%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/david-henrichs-72AYEEBJpz4-unsplash_2048x.jpg?v=1616334338	C:/Users/Sashera/Desktop/white/web/jpg/david-henrichs-72ayeebjpz4-unsplash_2048xc41a.jpg	(from https://martharbour.com/)
13:47:15	63791/63791	---MCZ	200	added ('OK')	text/html	etag:cacheable:2dcba5452e767fb1d69f5fd6e5617d6a	https://martharbour.com/search	C:/Users/Sashera/Desktop/white/web/search.html	(from https://martharbour.com/)
13:47:19	82488/82488	---MCZ	200	added ('OK')	text/html	etag:cacheable:d9bd196c9ddf437242d168ca9f6fce24	https://martharbour.com/pages/terms-of-services	C:/Users/Sashera/Desktop/white/web/terms-of-services.html	(from https://martharbour.com/)
13:47:22	89088/89088	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:10%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/dose-media-aSPomqvp1cI-unsplash_2048x.jpg?v=1616336593	C:/Users/Sashera/Desktop/white/web/jpg/dose-media-aspomqvp1ci-unsplash_2048x4a42.jpg	(from https://martharbour.com/)
13:47:23	80060/80060	---MCZ	200	added ('OK')	text/html	etag:cacheable:f516b4feae5f9d621c52cc6defd4f897	https://martharbour.com/pages/privacy-policy	C:/Users/Sashera/Desktop/white/web/privacy-policy.html	(from https://martharbour.com/)
13:47:23	133643/133643	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:06%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/files/karl-greif-H5IXIH254AU-unsplash_2048x.jpg?v=1616336557	C:/Users/Sashera/Desktop/white/web/jpg/karl-greif-h5ixih254au-unsplash_2048xff37.jpg	(from https://martharbour.com/)
13:47:24	64255/64255	---MCZ	200	added ('OK')	text/html	etag:cacheable:6b2f522b40009a1c53c8714515e62b32	https://martharbour.com/pages/return-policy	C:/Users/Sashera/Desktop/white/web/return-policy.html	(from https://martharbour.com/)
13:47:25	80574/80574	---MCZ	200	added ('OK')	text/html	etag:cacheable:c6d9b9b1d6a827d52617d39fc5299efa	https://martharbour.com/policies/terms-of-service	C:/Users/Sashera/Desktop/white/web/terms-of-service.html	(from https://martharbour.com/)
13:47:27	63242/63242	---MCZ	200	added ('OK')	text/html	etag:cacheable:1659fc439a418490d827ed5dbb32bcce	https://martharbour.com/policies/refund-policy	C:/Users/Sashera/Desktop/white/web/refund-policy.html	(from https://martharbour.com/)
13:47:28	58218/58218	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:3f82f1a7475657beb88bb6a7adaf7569	https://martharbour.com/collections/all.atom	C:/Users/Sashera/Desktop/white/web/atom/all.atom	(from https://martharbour.com/collections/all)
13:47:28	61354/61354	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:f87949584fec3031401086deee344c32	https://martharbour.com/collections/POST	C:/Users/Sashera/Desktop/white/web/other/post	(from https://martharbour.com/collections/all)
13:47:29	227/227	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Mar%202021%2009:47:29%20GMT	https://martharbour.com/collections/all/products/2021-new-drone-4k-1080p-hd-camera-wifi-fpv-air-pressure-altitude-keep-black-and-gray-folding-quadcopter-professional-rc-dron-toy	C:/Users/Sashera/Desktop/white/web/other/2021-new-drone-4k-1080p-hd-camera-wifi-fpv-air-pressure-altitude-keep-black-and-gray-folding-quadcopter-professional-rc-dron-toy	(from https://martharbour.com/collections/all)
13:47:30	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Mar%202021%2009:47:30%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/products/product-image-1686652531_{width}x.jpg?v=1616434973	C:/Users/Sashera/Desktop/white/web/delayed/product-image-1686652531_{width}x.21137b.delayed	(from https://martharbour.com/collections/all)
13:47:31	226244/226244	---MCZ	200	added ('OK')	text/html	etag:cacheable:1eb2858675fe830fc877c2991989c767	https://martharbour.com/products/2021-new-drone-4k-1080p-hd-camera-wifi-fpv-air-pressure-altitude-keep-black-and-gray-folding-quadcopter-professional-rc-dron-toy	C:/Users/Sashera/Desktop/white/web/2021-new-drone-4k-1080p-hd-camera-wifi-fpv-air-pressure-altitude-keep-black-and-gray-folding-quadcopter-professional-rc-dron-toy.html	(from https://martharbour.com/collections/all)
13:47:33	222/222	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Mar%202021%2009:47:31%20GMT	https://martharbour.com/collections/all/products/2021new-s68-pro-drone-4k-hd-wide-angle-camera-wifi-fpv-drone-height-keeping-with-camera-mini-drone-video-live-rc-quadcopter	C:/Users/Sashera/Desktop/white/web/other/2021new-s68-pro-drone-4k-hd-wide-angle-camera-wifi-fpv-drone-height-keeping-with-camera-mini-drone-video-live-rc-quadcopter	(from https://martharbour.com/collections/all)
13:47:33	39559/39559	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Mar%202021%2009:47:31%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/products/product-image-1686652531_345x345@2x.jpg?v=1616434973	C:/Users/Sashera/Desktop/white/web/jpg/product-image-1686652531_345x345@2x137b.jpg	(from https://martharbour.com/collections/all)
13:47:33	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Mar%202021%2009:47:33%20GMT	http://cdn.shopify.com/s/files/1/0553/9178/1050/products/product-image-1704560273_{width}x.jpg?v=1616432708	C:/Users/Sashera/Desktop/white/web/jpg/product-image-1704560273_{width}x7450.jpg	(from https://martharbour.com/collections/all)
13:47:35	163367/163367	---MCZ	200	added ('OK')	text/html	etag:cacheable:912111b2709957c77456bc1332c6b48f	https://martharbour.com/products/2021new-s68-pro-drone-4k-hd-wide-angle-camera-wifi-fpv-drone-height-keeping-with-camera-mini-drone-video-live-rc-quadcopter	C:/Users/Sashera/Desktop/white/web/2021new-s68-pro-drone-4k-hd-wide-angle-camera-wifi-fpv-drone-height-keeping-with-camera-mini-drone-video-live-rc-quadcopter.html	(from https://martharbour.com/collections/all)
